0,1,0 | 8,33,8 | S=(0,0) | I= | sp=9912 | ip=
0,1,0 | 8,33,8 | S=(0,0) | I= | sp=9913 | ip=
0,1,0 | 8,33,8 | S=(0,0) | I= | sp=9914 | ip=
0,1,0 | 8,33,8 | S=(0,0) | I= | sp=918 | ip=
0,1,0 | 8,33,8 | S=(0,0) | I= | sp=920 | ip=
0,1,0 | 8,33,8 | S=(0,0) | I= | sp=922 | ip=
0,1,0 | 8,33,8 | S=(0,0) | I= | sp=924 | ip=
0,1,0 | 8,33,8 | S=(0,0) | I= | sp=925 | ip=
0,1,0 | 8,33,8 | S=(0,0) | I= | sp=927 | ip=
0,1,0 | 8,33,8 | S=(0,0) | I= | sp=928 | ip=
0,1,0 | 8,33,8 | S=(0,0) | I= | sp=929 | ip=
0,1,0 | 8,33,8 | S=(0,0) | I= | sp=944 | ip=
0,1,0 | 8,33,8 | S=(0,0) | I= | sp=952 | ip=
0,1,0 | 8,42,4 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 8,42,4 | S=(0,0) | I= | sp=882 | ip=
0,1,0 | 8,42,4 | S=(0,0) | I= | sp=883 | ip=
0,1,0 | 8,42,4 | S=(0,0) | I= | sp=23 | ip=
0,1,0 | 8,42,4 | S=(0,0) | I= | sp=33 | ip=
0,1,0 | 8,42,4 | S=(0,0) | I= | sp=97 | ip=
0,1,0 | 8,42,4 | S=(0,0) | I= | sp=98 | ip=
0,1,0 | 8,42,4 | S=(0,0) | I= | sp=924 | ip=
0,1,0 | 8,43,4 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 8,43,4 | S=(0,0) | I= | sp=882 | ip=
0,1,0 | 8,43,4 | S=(0,0) | I= | sp=97 | ip=
0,1,0 | 8,43,4 | S=(0,0) | I= | sp=98 | ip=
